LT-HSC,HSC,MPP,CLP,CMP,GMP,MF,Granulocyte,Mono,B,CD4,CD8,NK,MEP,EryA,EryB
HSC,HSC,MPP,CLP,CMP,GMP,MF,GRAN,MONO,B,CD,CD,NK,MEP,ERY,ERY
