"RNA-seq counts from 3' sequencing, normalized to 10M reads",,,,,,,,,,,,,,,,,
UNIQUD,NAME,LT-HSC,HSC,MPP,CLP,CMP,GMP,MF,Granulocyte,Mono,B,CD4,CD8,NK,MEP,EryA,EryB
NM_146433,Olfr994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_027652,Ept1,125.412,52.7287,31.6303,53.7736,73.3322,71.8242,15.6853,9.3729,17.4734,83.6665,63.5354,70.6847,93.8026,228.3199,18.0802,4.739
NM_001166375,41699,19.294,54.1526,4.7236,6.0621,11.1742,6.2301,54.0891,137.128,210.3801,1614.7422,22.5038,6.6532,140.7162,8.0427,9.5426,6.634
NM_001172069,Senp8,19.294,9.9757,9.7116,16.6557,21.3008,15.7585,9.3706,3.5808,4.705,52.9872,7.9425,29.9338,42.6312,33.7657,5.5241,7.582
NM_018830,Asah2,106.118,92.631,16.0098,15.521,17.1122,15.756,3.6201,3.2864,7.8416,27.8889,7.941,7.484,0,8.8449,1.5071,0
NM_026828,Dnlz,684.945,481.6765,164.5458,289.3518,178.0963,175.5342,77.7643,36.9675,53.3188,217.5215,93.978,142.1913,166.2985,499.262,42.6922,10.426
NR_028591,Gm14005,19.294,79.8039,39.5289,21.9643,123.271,263.4825,140.5752,120.221,82.2124,5.5774,70.1446,35.7588,588.435,20.0934,5.5252,4.739
NM_178061,Mob3b,86.824,152.482,41.0747,30.664,86.9546,64.13,25.2412,73.7506,162.4344,94.8194,144.2879,79.8248,238.7888,100.5249,15.5682,0
NM_146244,Rps6kl1,9.647,0,0,4.1684,1.7463,0,0.1856,0.2158,0.224,16.7327,5.2949,5.8224,0,10.4559,0.5025,0
NR_003649,Gm5434,0,0,0,0,0.6985,0.3665,0,0,0,0,0,0,0,0,0,0
NM_212441,Acsm3,0,0,1.182,0,0,0,0.0928,0,0,0,0,1.6635,4.2648,0.8035,0.5019,0
NM_001199960,Ccl27b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001081124,Map7d2,19.294,0,4.1988,1.5142,1.7454,1.8321,0.2785,0.2154,1.1199,2.7893,0,0,4.2648,5.6282,4.0187,0
NM_146717,Olfr433,0,0,0.3936,0.7571,0,0,0.1857,0.4696,0,0,0,0,0,0,0,0
NM_029770,Unc5b,0,18.5265,0,1.1356,0,0.3665,0.0928,0.0979,0,0,0,0,17.0594,0.8035,0,0
NM_177197,Idi2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_029420,Slx1b,260.472,203.7851,67.9859,93.5257,94.2827,87.952,40.274,16.606,38.0862,92.0174,47.6518,78.987,119.3832,124.6058,21.0943,4.739
NR_045940,4930402F11Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_009412,Tpd52,356.943,149.6332,74.9373,100.3379,158.5393,137.4218,139.8295,174.0669,396.7721,482.4666,51.6216,44.899,349.632,43.4113,10.5471,5.687
NM_001011753,Olfr115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_037296,Mir3109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_198927,Smgc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_029557,Mir145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_133892,Lao1,0,0,6.9539,0,1.0474,1.8321,0,0,0,0,0,0,0,0,0,0
NM_009595,Abl2,848.946,437.501,111.9367,167.7544,188.9147,149.1511,45.5591,50.6006,52.4228,409.9621,236.9296,230.3321,341.1265,282.2106,17.5761,9.478
NR_045516,Dlg1,347.296,396.1734,92.2632,146.9067,165.5239,145.4834,50.8498,64.7305,54.2168,582.86,284.5906,256.9371,422.1071,409.2686,92.9158,36.016
NM_001128180,Dlgap1,9.647,84.0781,36.4746,1.1364,6.2859,1.0993,1.3922,1.8412,2.6879,2.7881,2.6473,2.4954,4.2632,1.6083,3.5157,1.896
NM_146033,Ankmy2,125.412,84.0795,32.9394,51.492,55.8767,58.267,23.8483,19.3274,17.9242,92.0311,109.862,70.6782,85.2764,85.2262,8.0377,3.791
NM_001162417,Myef2,48.236,74.1036,16.5341,21.5853,44.0014,23.4525,9.8354,6.632,11.4255,66.9268,52.9423,36.5885,38.3698,119.823,99.9478,35.068
NM_001081213,Ermp1,57.883,76.9534,28.0892,55.2808,75.7813,93.8151,26.1666,16.6771,20.8354,122.7184,33.0885,51.5545,127.9198,104.5097,32.1445,12.321
NM_001161406,Grhl1,0,0,0.9184,0.7571,0.699,1.4662,2.4128,2.0932,1.5681,13.9419,29.1173,1.663,12.7894,4.0175,1.0044,0.948
NR_045798,1810034E14Rik,48.236,82.6551,36.6064,21.2068,10.4761,15.3927,6.0326,8.0214,14.5627,69.7196,88.6908,178.7766,251.5715,39.4006,1.5071,0.948
NM_144903,Aldob,0,17.1006,0,0,0,0,0,0,0,0,1.3234,0,0,0,0,0
NM_001195596,Smlr1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_145521,Ppapdc3,57.883,129.6804,18.9021,14.7668,11.1729,8.4283,6.0308,1.0953,4.4803,2.7893,0,3.3257,4.2632,22.5117,2.009,0
NR_027964,Gm10416,0,1.4251,0,0,0.3494,0.3664,0,0,0.4482,0,0,0,0,0,0,0
NM_001190385,Caly,0,0,0,0,0,0.7329,0.1857,0,0.672,0,0,0,0,0,0,0
NM_007428,Agt,0,0,0,0.3788,0,0,0.464,0.0393,0,0,0,0,0,0,0,0
