Symbols,Genes ,b05 Neutrophil1 Exp2,b07 Neutrophil3 Exp2,b10 Monocyte1 Exp2,b11 Monocyte2 Exp2,a01 brain microglia1 Exp1 m,a02 brain microglia2 Exp1 m,a06 peritoneum Mac1 Exp1 m,a07 peritoneum Mac2 Exp1 m,b08 Spleen Mac1 Exp2,b09 Spleen Mac2 Exp2,b04 Kupffer Exp2,b15 Kupffer2 Exp2,a12 LI Mac2 Exp1 m,a13 LI Mac3 Exp1 m,a10 SI Mac3 Exp1 m,a11 SI Mac4 Exp1 m,b02 lung Exp2,b17 lung mac2 Exp2
TRIP4,NM_019797,11.02343254,24.17778594,8.524338111,8.439266353,23.49035152,5.562190251,7.560094561,13.54030289,6.976635535,8.764946077,4.158410982,17.15953669,4.715868797,12.21412282,8.987057127,5.310000793,4.424899414,0
SP4,NM_009239,9.645503469,8.791922162,1.704867622,2.301618096,7.516912486,1.854063417,6.300078801,10.83224231,0,11.68659477,0,0,1.178967199,1.744874689,1.685073211,7.30125109,1.264256975,1.106986277
AKR1C21,NM_029901,0,0,0,0,0,0,0,5.416121156,0,0,0,0,0,0,0.56169107,0,0.632128488,0
5430437P03RIK,NM_026636,216.3348635,118.6909492,329.8918849,315.3216792,121.2102138,80.65175864,127.2615918,171.5105033,142.5226974,131.4741912,170.4948503,191.7830572,146.1919327,116.9066041,157.2734997,112.8375168,176.9959765,174.9038317
NASP,NM_001081475,19.29100694,10.9899027,74.58795847,88.99589973,26.3091937,11.1243805,7.560094561,24.3725452,42.35814432,17.52989215,31.18808237,35.3284579,30.65314718,27.33637012,11.79551248,20.57625307,56.89156389,43.17246479
GADD45A,NM_007836,117.1239707,123.0869103,11.93407335,5.370442225,4.698070304,0,12.6001576,37.01016123,10.96328441,7.304121731,2.079205491,3.028153534,2.357934398,4.071374274,5.055219634,5.310000793,0,6.64191766
WNT4,NM_009523,0,0,0,0,1.879228121,0,0,0.902686859,1.993324439,1.460824346,5.198013728,7.06569158,4.715868797,3.489749378,91.83649002,27.87750416,0,0
FOXD1,NM_008242,0,0,0,0,0,0,1.26001576,0.902686859,0,2.921648692,0,0,0,0.581624896,0,1.327500198,0,0
SYVN1,NM_001164709,68.89645335,103.3050854,35.80222006,35.29147748,79.86719516,84.35988547,35.28044129,63.18808015,106.6428575,113.944299,74.85139768,60.56307068,42.44281917,25.59149544,49.99050527,63.05625941,44.24899414,22.13972553
TMEM102,NM_001033433,0,0,0,0,0,0,0,0,0,0,0,0,5.894835996,5.816248963,2.808455352,0.663750099,3.792770926,5.534931383
HSH2D,NM_197944,78.54195682,39.56364973,22.16327909,16.11132667,0,0,0,0,0,5.843297385,0,0,2.357934398,1.744874689,1.123382141,0,0,1.106986277
BCAT2,NM_009737,30.31443948,26.37576649,6.819470489,9.973678418,5.637684364,2.781095125,13.86017336,10.83224231,39.86648877,67.19791993,36.3860961,32.30030437,10.61070479,17.44874689,10.11043927,7.965001189,29.71003892,47.6004099
MKI67IP,NM_026472,11.02343254,4.395961081,30.6876172,35.29147748,69.53144049,32.4461098,28.98036249,44.23165611,24.91655548,30.67731127,34.3068906,18.16892121,33.01108158,27.91799502,27.52286245,37.83375565,48.04176506,22.13972553
VMAC,NM_001166474,8.267574402,0,2.557301433,1.534412064,18.79228121,27.81095125,30.24037825,8.124181734,18.93658217,10.22577042,11.4356302,23.21584376,17.68450799,18.03037178,15.1656589,9.292501387,8.849798827,18.8187667
ZFP566,NM_152814,2.755858134,2.19798054,0.852433811,2.301618096,10.33575467,0.927031708,0,1.805373719,2.989986658,2.921648692,0,0,1.178967199,0,0.56169107,0.663750099,0.632128488,0
SH2B1,NM_011363,75.78609869,134.076813,43.47412436,55.23883431,64.83337019,72.30847326,17.64022064,43.32896925,48.83644875,30.67731127,40.54450708,42.39414948,35.36901597,32.57099419,36.50991958,41.81625624,32.87068136,11.06986277
FBXO42,NM_172518,35.82615574,24.17778594,29.83518339,39.12750764,14.09421091,26.88391955,12.6001576,37.91284809,21.92656883,24.83401389,24.95046589,20.18769023,27.11624558,12.79574772,29.76962673,19.91250297,25.91726799,44.27945107
TBC1D24,NM_001163852,5.971025957,15.38586378,0.852433811,6.904854289,8.769731234,12.3383506,16.38020488,13.91642241,5.880307094,14.8951911,10.603948,8.075076091,2.750923465,0.581624896,10.11043927,13.30818949,9.060508323,16.60479415
ARF2,NM_007477,5.511716268,6.593941621,11.08163954,8.439266353,51.67877334,69.52737814,20.16025216,18.05373719,31.89319102,13.14741912,49.90093179,105.9853737,23.57934398,21.52012116,20.78256961,27.87750416,15.1710837,47.6004099
SATL1,NM_028655,0,0,0,0,0,0,0,0,0,0,0,0,1.178967199,0,0,0,0,0
KCNJ14,NM_145963,0,0,0,0,0,1.390547563,0,0,0,0,0,0,0,0,0,0,0,1.660479415
PCMTD1,NM_183028,17.22411334,36.26667892,25.99923124,6.904854289,14.56401794,31.05556223,31.29039138,45.58568639,29.40153547,43.09431821,23.91086315,63.08653196,15.32657359,31.69855685,37.07161065,40.156881,33.1867456,13.83732846
MIR1894,NR_035445,0,0,0,0,6.577298425,0.927031708,0,0,0.996662219,0,3.118808237,0,3.536901597,1.163249793,11.23382141,15.26625228,0.632128488,9.96287649
ZFP458,NM_001001152,0,0,0.852433811,0,4.698070304,2.781095125,0,0,0,0,0,3.028153534,1.178967199,0,0,0,0,3.32095883
